epoch,train_loss,metrics/mAP50,metrics/mAP50-95
1,0.1293463401712082,0.8400457501411438,0.45645707845687866
2,0.08261254445526611,0.8295741081237793,0.48982730507850647
3,0.06804652755547676,0.8877156972885132,0.5429806709289551
4,0.058518573000956545,0.8808915615081787,0.5462314486503601
5,0.053643491595982744,0.8973923921585083,0.5349633097648621
6,0.04812990640449547,0.8901412487030029,0.564346969127655
7,0.04384289770950653,0.8793678283691406,0.5378961563110352
8,0.04137522206592147,0.9100081920623779,0.5631301999092102
9,0.03975137463040278,0.9024948477745056,0.5612432956695557
10,0.03899354271404322,0.8967777490615845,0.567933976650238
11,0.037372699377325146,0.8964278697967529,0.5562983751296997
12,0.036673294022537176,0.9030487537384033,0.5554447174072266
13,0.034974979227791726,0.907183051109314,0.5733891129493713
14,0.03503494240450528,0.8767828941345215,0.5348665118217468
15,0.034674413306643774,0.8673227429389954,0.5460144281387329
16,0.03398710379045087,0.9074465036392212,0.5768529176712036
17,0.03336179867942074,0.8548070788383484,0.5288470387458801
18,0.04127016007657034,0.8682293891906738,0.5365144610404968
19,0.03788725525589468,0.8868931531906128,0.5587066411972046
20,0.033164663241728044,0.8282833099365234,0.5198718905448914
21,0.037594932594733725,0.8666574954986572,0.5081819295883179
22,0.03471752021627186,0.8744357228279114,0.5446333289146423
23,0.032627500231209555,0.8830224871635437,0.5427586436271667
24,0.033053008655111384,0.8908947706222534,0.560301661491394
25,0.03766602216655259,0.8363074064254761,0.5075064301490784
26,0.045052146014511234,0.8383379578590393,0.5100089311599731
27,0.03534606828947026,0.8725284337997437,0.5563974380493164
28,0.0362149282366251,0.8597344756126404,0.5409942865371704
29,0.032449134441427545,0.8633148670196533,0.5434082746505737
30,0.03495271522682756,0.8431645035743713,0.5246357917785645
31,0.033644354782686146,0.872602641582489,0.5536503791809082
32,0.045823568829097466,0.8559781908988953,0.5413071513175964
33,0.03513384907807716,0.8609198331832886,0.5444203615188599
34,0.03463933128510999,0.8698572516441345,0.5447615385055542
35,0.03534121678177263,0.8390158414840698,0.503930926322937
36,0.03523906816255633,0.8267645835876465,0.510082483291626
37,0.0402958709223738,0.8198556900024414,0.4833008646965027
38,0.04281771592639236,0.8000913858413696,0.4780905544757843
39,0.03552706550821026,0.7639517188072205,0.46940141916275024
40,0.033582386350428706,0.8682472705841064,0.5194953083992004
41,0.0433160479235103,0.8291032910346985,0.5055100917816162
42,0.0341084072497301,0.8430280685424805,0.5296267867088318
43,0.0341600041321294,0.8388659954071045,0.48827728629112244
44,0.03521758680411651,0.8325697779655457,0.5337724685668945
45,0.03809192387947858,0.8539906740188599,0.5348383188247681
46,0.034145077988123815,0.8611505627632141,0.5319775938987732
47,0.03489624403148381,0.814889132976532,0.5019007921218872
48,0.0522782088752193,0.7480838894844055,0.4634670913219452
49,0.038820718679151614,0.8539732098579407,0.5353519916534424
50,0.03528790615644705,0.8507189154624939,0.537019670009613
